name,country,DOB,age,bio,picture,rank
Angelo Sodano, Italy,11/23/1927,85,"Bishop of Ostia and Cardinal Bishop of Albano, Dean of the College of Cardinals, Cardinal Secretary of State Emeritus, Cardinal since 28 June 1991.",http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Roger Etchegaray, France,9/25/1922,90,"Cardinal Bishop of Porto-Santa Rufina, Vice-Dean of the College of Cardinals, President Emeritus of the Pontifical Council for Justice and Peace, Cardinal since 30 June 1979.",http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Giovanni Battista Re, Italy,1/30/1934,79,"Cardinal Bishop of Sabina-Poggio Mirteto, Prefect Emeritus of the Congregation for Bishops, Cardinal since 21 February 2001.",http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Francis Arinze, Nigeria,11/1/1932,80,"Cardinal Bishop of Velletri-Segni, Prefect Emeritus of the Congregation for Divine Worship and the Discipline of the Sacraments, Cardinal since 25 May 1985.",http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Tarcisio Bertone, Italy,12/2/1934,78,"Cardinal Bishop of Frascati, Cardinal Secretary of State and Camerlengo of the Holy Roman Church, Cardinal since 21 October 2003.",http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
José Saraiva Martins, Portugal,1/6/1932,81,"Cardinal Bishop of Palestrina, Prefect Emeritus of the Congregation for the Causes of Saints, Cardinal since 21 February 2001.",http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Nasrallah Pierre Sfeir, Lebanon,5/15/1920,92,"Patriarch Emeritus of Antioch (Maronite Catholic Church), Cardinal since 28 February 1994.",http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Emmanuel III Delly, Iraq,10/6/1927,85,"Patriarch Emeritus of Babylon (Chaldean Catholic Church), Cardinal since 24 November 2007.",http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Antonios Naguib, Egypt,3/18/1935,77,"Patriarch Emeritus of Alexandria (Coptic Catholic Church), Cardinal since 20 November 2010.",http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Bechara Boutros al-Rahi, Lebanon,2/25/1940,73,"Patriarch of Antioch (Maronite Catholic Church), Cardinal since 24 November 2012.",http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Paulo Evaristo Arns, Brazil,9/14/1921,91,"Archbishop Emeritus of São Paulo, Cardinal Protopriest since July 2012.",http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
William Wakefield Baum, United States,11/21/1926,86,Major Penitentiary Emeritus,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Marco Cé, Italy,7/8/1925,87,Patriarch Emeritus of Venice,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Franciszek Macharski, Poland,5/20/1927,85,Archbishop Emeritus of Kraków,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Michael Michai Kitbunchu, Thailand,1/26/1929,84,Archbishop Emeritus of Bangkok,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Alexandre do Nascimento, Angola,3/1/1925,88,Archbishop Emeritus of Luanda,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Godfried Danneels, Belgium,6/5/1933,79,Archbishop Emeritus of Mechelen-Brussels,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Thomas Stafford Williams, New Zealand,3/20/1930,82,Archbishop Emeritus of Wellington,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
